Product,Old Price,Discount,New Price
 Set Biberones Avent Natural Scd301/01 Transparente Philips ," $ 1,119 ",43% OFF,629
" Barbie Color Reveal, Muñeca Sorpresa ", $ 429 ,30% OFF,300
 Bandas Para Ejercicio De Resistencia De Cadera , $ 956 ,45% OFF,526
 Set Biberones Avent Natural Scd301/04 Azul Philips ," $ 1,119 ",43% OFF,629
 Crema Anti Arrugas Noche Revitalift Ácido Hialurónico 50ml , $ 207 ,10% OFF,186
 Cargador Inalambrico Móvil De Carga Rápida , $ 288 ,39% OFF,173
 Jade Cook - Juego De Sartenes (20 Y 24cm) - 2 Piezas ," $ 1,549 ",16% OFF,"1,299"
 Audifonos Xiaomi Mi Airdots Mini Dual Bluetooth V5.0 , $ 600 ,16% OFF,499
 Removedor De Callos Recargable Eléctrico + 60 Lima Spa Pies , $ 649 ,10% OFF,584
 Ramen Coreano Doble Picante (muy Picante) 1 Pieza 140g , $ 38 ,8% OFF,34
 Olla De Presión 6 Litros T-fal 92160 Sistema De Seguridad , $ 690 ,14% OFF,588
 Mochila Urbana Antirrobo De 30l Con Cargador Usb , $ 799 ,34% OFF,526
 Audífonos Inalámbricos Bluetooth C/sincronización Automática , $ 618 ,23% OFF,476
 Depiladora Electrica 15v Blanco Satinelle Bre225 Philips , $ 599 ,33% OFF,399
 Crema Facial Matificante Effaclar La Roche Posay 40ml Grasa , $ 595 ,25% OFF,446
 Depiladora Dispositivo Ipl Philips Lumea Prestige Bri956/50 ," $ 11,999 ",45% OFF,"6,599"
 Colchón Matrimonial Restonic Ortopédico Rand 5 Años Garantía ," $ 3,488 ",25% OFF,"2,590"
 Impercaucho Impermeabilizante 12 Años Terracota 19 Lts , $ 560 ,17% OFF,463
 Licuadora T-fal Infinyforce 10 Vel Pica Hielo Tefal Oferta , $ 639 ,6% OFF,599
 Cubrebocas K-n95 De 5 Capas Con Certificado (5 Piezas) , $ 799 ,12% OFF,699
 Jade Cook Smart Batería - Mango Desmontable - Cv Directo ," $ 2,499 ",20% OFF,"1,999"
